appearance_count,token,length
46763,có,1
42853,và,1
37507,của,1
32654,trong,1
31342,các,1
27895,động,1
26882,do,1
26445,từ,1
26414,là,1
26331,cho,1
24057,với,1
23018,được,1
22540,nam,1
22205,để,1
21237,không,1
21041,thế,1
20935,da,1
20800,công,1
20782,nhưng,1
20467,một,1
19935,tại,1
19503,người,1
19422,cùng,1
19367,gia,1
19070,nay,1
18364,khi,1
18075,quan,1
17970,sở,1
17453,nhận,1
17313,đầu,1
16608,ban,1
16504,sự,1
16284,dùng,1
15678,đổi,1
15102,về,1
14847,tôi,1
14495,bố,1
14326,thứ,1
14225,nơi,1
14128,an,1
13818,ở,1
13600,chi,1
13423,thanh,1
13187,đến,1
13057,vấn,1
12945,sẻ,1
12933,đình,1
12910,mới,1
12901,trường,1
12781,đang,1
12689,qua,1
12491,đủ,1
12490,tình,1
12403,học,1
12218,ra,1
12134,nhiều,1
12089,thì,1
11950,báo,1
11867,thông,1
11842,việc,1
11840,thức,1
11637,ánh,1
11532,hội,1
11386,theo,1
11330,tiến,1
11257,vi,1
11150,bị,1
11038,nha,1
10993,vào,1
10939,con,1
10869,hiện,1
10723,hàng,1
10708,hô,1
10526,ngày,1
10506,như,1
10366,diện,1
10347,quốc,1
10340,trên,1
10288,làm,1
10269,hôn,1
10057,chính,1
9972,đầy,1
9923,dài,1
9922,chủng,1
9897,lại,1
9890,biết,1
9858,phần,1
9836,dân,1
9592,ông,1
9471,sau,1
9453,san,1
9434,cao,1
9402,viên,1
9261,nặng,1
9208,tăng,1
9192,can,1
9188,phát,1
8875,"có thể",2
8859,trung,1
8808,cả,1
8641,thường,1
8488,nhất,1
8450,thời,1
8319,nước,1
8279,điều,1
8219,hợp,1
8198,ký,1
8114,tỷ,1
8046,trở,1
8038,chuyển,1
7966,hai,1
7758,vụ,1
7716,lượng,1
7699,lực,1
7636,mình,1
7578,tháng,1
7363,đường,1
7303,trị,1
7265,việt,1
7162,mất,1
7108,sinh,1
7070,chủ,1
7059,giao,1
7048,tế,1
7027,tổ,1
6958,phải,1
6932,tương,1
6904,phòng,1
6896,thay,1
6815,hòa,1
6794,đạt,1
6744,cầu,1
6721,hành,1
6628,lý,1
6602,trước,1
6526,cấp,1
6517,toàn,1
6508,phẩm,1
6435,giám,1
6412,trình,1
6339,đi,1
6333,đào,1
6333,lan,1
6269,bắt,1
6224,tâm,1
6150,phụ,1
6025,nền,1
5979,thẫm,1
5979,tin,1
5975,dịch,1
5899,giải,1
5841,khác,1
5802,chục,1
5778,cánh,1
5777,kể,1
5713,hưởng,1
5697,biến,1
5685,ngoài,1
5665,mức,1
5663,tiếp,1
5610,tác,1
5471,nghi,1
5455,trạng,1
5421,bằng,1
5409,danh,1
5393,kết,1
5357,bình,1
5356,mà,1
5347,nguyễn,1
5346,liên,1
5338,gian,1
5315,hệ,1
5302,nghiệp,1
5300,điểm,1
5271,kiện,1
5268,hình,1
5234,xuất,1
5173,phó,1
5158,ràng,1
5127,ý,1
5117,ba,1
5115,giới,1
5107,lợi,1
5081,phương,1
5049,quý,1
5024,nghe,1
5013,triển,1
5011,kinh,1
4964,sống,1
4938,"cho biết",2
4931,sang,1
4930,lớn,1
4909,tập,1
4887,hiệu,1
4870,mùa,1
4863,cứ,1
4828,cách,1
4779,xá,1
4775,tạo,1
4773,trả,1
4765,tiêu,1
4760,mô,1
4752,đoạn,1
4745,triệu,1
4703,gân,1
4677,tích,1
4623,mạng,1
4571,cầm,1
4567,xe,1
4531,đưa,1
4504,chưa,1
4486,cuộc,1
4458,chiến,1
4426,kiểm,1
4394,tổng,1
4354,máy,1
4340,nhiên,1
4329,ủng,1
4278,lên,1
4250,hạ,1
4226,thiết,1
4191,tuyên,1
4139,rất,1
4121,yếu,1
4109,doanh,1
4104,túc,1
4047,bệnh,1
4033,tuy,1
4018,lệ,1
3986,hay,1
3930,chặt,1
3911,bên,1
3863,pháp,1
3843,dồn,1
3819,khu,1
3805,thần,1
3788,mạnh,1
3784,nó,1
3783,"công ty",2
3760,nếu,1
3753,đúc,1
3752,"đầu tư",2
3740,hạn,1
3659,quyết,1
3643,hoạt,1
3628,xây,1
3607,trai,1
3584,cứu,1
3572,đàm,1
3558,khoảng,1
3534,vẫy,1
3534,khởi,1
3520,trẻ,1
3515,"phát triển",2
3513,bác,1
3500,lộ,1
3494,vực,1
3456,tấn,1
3433,thuốc,1
3410,tuổi,1
3392,khô,1
3387,nghiêm,1
3380,khách,1
3375,đốc,1
3369,sĩ,1
3327,giúp,1
3307,sắt,1
3294,lập,1
3272,tay,1
3270,"thời gian",2
3263,ngân,1
3261,phục,1
3224,chế,1
3186,phi,1
3185,"sử dụng",2
3178,khiến,1
3176,hoặc,1
3143,"thị trường",2
3143,bởi,1
3118,màu,1
3110,từng,1
3107,khả,1
3087,chống,1
3075,tím,1
3055,vong,1
3049,"tuy nhiên",2
3021,não,1
3021,3,1
3019,sách,1
3019,nhiễm,1
3017,thêm,1
3006,khoản,1
2994,"hoạt động",2
2975,nhỏ,1
2947,hoàn,1
2939,"tổ chức",2
2932,đặc,1
2931,gây,1
2927,liều,1
2918,bay,1
2890,khai,1
2878,khoa,1
2849,địa,1
2823,loại,1
2814,quyền,1
2798,"một số",2
2790,em,1
2787,tốt,1
2728,trận,1
2710,xu,1
2707,"thực hiện",2
2694,thái,1
2692,tránh,1
2692,châu,1
2640,mẹ,1
2635,lứa,1
2616,nhóm,1
2614,vùng,1
2603,"là một",2
2589,lành,1
2579,muộn,1
2571,lao,1
2567,"sau khi",2
2563,đột,1
2552,tá,1
2503,sức,1
2496,chân,1
2496,vật,1
2493,chia,1
2484,vài,1
2481,rõ,1
2462,vỡ,1
2459,khẩn,1
2447,"công nghệ",2
2444,tuần,1
2444,"dự án",2
2443,bại,1
2420,chọn,1
2413,nhập,1
2399,chương,1
2389,cuối,1
2387,"quốc gia",2
2384,rồi,1
2382,trực,1
2357,giữa,1
2349,nguồn,1
2345,gối,1
2331,"đối với",2
2326,"cơ quan",2
2321,buộc,1
2313,thiếu,1
2309,"khu vực",2
2301,gặp,1
2299,trừ,1
2298,luật,1
2296,đều,1
2295,cực,1
2283,càng,1
2278,giờ,1
2268,lòng,1
2267,cải,1
2236,"thông tin",2
2213,"xã hội",2
2201,áp,1
2198,linh,1
2189,nghiên,1
2188,"kinh tế",2
2181,"doanh nghiệp",2
2178,tiếng,1
2175,"sản phẩm",2
2169,"so với",2
2169,xác,1
2156,"thành phố",2
2155,tháo,1
2154,mắc,1
2152,"tiếp tục",2
2149,"hỗ trợ",2
2130,"thế giới",2
2111,"đặc biệt",2
2097,xét,1
2081,truyền,1
2074,luận,1
2067,hầu,1
2040,nữ,1
2026,"cho rằng",2
2025,gồm,1
2020,nhầm,1
2015,dưới,1
2006,mại,1
2006,"vấn đề",2
1994,"chương trình",2
1990,thở,1
1984,"chúng tôi",2
1984,tên,1
1982,ủy,1
1977,ngữ,1
1973,"nghiên cứu",2
1969,lịch,1
1969,ngành,1
1968,thấp,1
1964,"khả năng",2
1962,"đây là",2
1962,"công an",2
1956,thiện,1
1951,"xây dựng",2
1945,phim,1
1944,"hệ thống",2
1944,chạm,1
1931,môn,1
1925,"không có",2
1922,thật,1
1915,"người đàn",2
1909,hoạch,1
1894,"học sinh",2
1886,bé,1
1886,"làm việc",2
1876,thuật,1
1865,tiết,1
1859,"chia sẻ",2
1857,"tham gia",2
1855,tất,1
1852,vừa,1
1845,"trong đó",2
1840,nhau,1
1835,"trong khi",2
1818,hữu,1
1815,hôm,1
1809,xuống,1
1809,"sản xuất",2
1799,"quản lý",2
1788,"đại học",2
1787,nông,1
1786,"những người",2
1772,"với các",2
1757,khâu,1
1754,"chủ tịch",2
1752,làng,1
1748,chiếu,1
1742,xem,1
1741,nhanh,1
1741,huyền,1
1739,thích,1
1734,giữ,1
1732,phiên,1
